# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "10" "-F" "GTF" "-t" "miRNA" "-g" "ID" "-a" "/home/shared/resources/mirna/mmu.gff3" "-o" "/home/qianhui/damagedmuscle_project/data/02_data_processed/04_featurecounts/bwa_counts.txt" "/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/damaged_muscle_exosome_1_sorted.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/damaged_muscle_exosome_2_sorted.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/muscle_exosome_1_sorted.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/muscle_exosome_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/damaged_muscle_exosome_1_sorted.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/damaged_muscle_exosome_2_sorted.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/muscle_exosome_1_sorted.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/muscle_exosome_2_sorted.bam
MIMAT0025084	chr1	12426016	12426038	+	23	0	0	0	0
MIMAT0017004	chr1	20679017	20679039	+	23	6	7	0	3
MIMAT0000239	chr1	20679055	20679076	+	22	2340927	2689150	1310920	2489000
MIMAT0017083	chr1	20682797	20682818	+	22	110	148	80	103
MIMAT0000769	chr1	20682834	20682855	+	22	10834	10549	2778	5054
MIMAT0000128	chr1	23272274	23272295	+	22	1602	1775	971	1332
MIMAT0000129	chr1	23272315	23272336	+	22	3135	3550	2262	4422
MIMAT0000514	chr1	23291714	23291736	+	23	959	1332	458	991
MIMAT0005438	chr1	23291754	23291775	+	22	26	28	12	27
MIMAT0025085	chr1	29421552	29421573	+	22	0	0	0	0
MIMAT0027692	chr1	34117364	34117385	+	22	0	0	0	0
MIMAT0027693	chr1	34117408	34117429	+	22	0	0	0	0
MIMAT0020610	chr1	34433130	34433149	-	20	2	1	0	1
MIMAT0027694	chr1	36144290	36144312	-	23	0	0	0	0
MIMAT0027695	chr1	36144252	36144272	-	21	0	0	0	0
MIMAT0027696	chr1	36348732	36348753	-	22	0	0	9	0
MIMAT0027697	chr1	36348688	36348708	-	21	0	0	0	0
MIMAT0025092	chr1	39186908	39186929	-	22	0	0	0	0
MIMAT0025093	chr1	47467097	47467117	-	21	0	0	0	0
MIMAT0029882	chr1	53849424	53849443	+	20	0	0	0	0
MIMAT0029883	chr1	53849474	53849495	+	22	0	0	12	0
MIMAT0027698	chr1	64042476	64042496	-	21	0	0	0	0
MIMAT0027699	chr1	64042438	64042460	-	23	10	0	4	0
MIMAT0025094	chr1	73855553	73855575	-	23	0	0	0	0
MIMAT0009391	chr1	74206562	74206578	-	17	0	1	0	1
MIMAT0000534	chr1	74394324	74394344	+	21	17239	20589	11336	19518
MIMAT0004630	chr1	74394360	74394381	+	22	8	35	26	6
MIMAT0017078	chr1	74900696	74900717	-	22	0	0	0	0
MIMAT0000739	chr1	74900661	74900682	-	22	36	67	30	24
MIMAT0025086	chr1	76509620	76509641	+	22	0	0	0	0
MIMAT0025095	chr1	77496731	77496752	-	22	0	0	0	0
MIMAT0025087	chr1	82131926	82131947	+	22	0	0	6	0
MIMAT0025096	chr1	84218926	84218948	-	23	0	0	0	0
MIMAT0020637	chr1	84695890	84695911	+	22	132	190	37	47
MIMAT0031398	chr1	85751983	85752002	+	20	0	0	0	0
MIMAT0031410	chr1	86352062	86352087	-	26	38	14	17	23
MIMAT0027700	chr1	92464514	92464537	-	24	0	0	0	9
MIMAT0027701	chr1	92464483	92464503	-	21	3	0	0	3
MIMAT0000159	chr1	92850381	92850403	+	23	21881	25844	16128	23714
MIMAT0016990	chr1	92850421	92850442	+	22	0	2	0	1
MIMAT0027702	chr1	93274554	93274573	+	20	0	0	0	0
MIMAT0027703	chr1	93274585	93274604	+	20	0	0	0	0
MIMAT0027704	chr1	93346097	93346118	+	22	0	0	0	0
MIMAT0027705	chr1	93346135	93346155	+	21	0	0	0	0
MIMAT0025088	chr1	93352191	93352211	+	21	0	0	0	0
MIMAT0031390	chr1	106546536	106546555	-	20	0	0	0	0
MIMAT0025089	chr1	118954278	118954299	+	22	0	0	0	0
MIMAT0016982	chr1	128202369	128202389	+	21	10	5	11	7
MIMAT0000140	chr1	128202404	128202424	+	21	3586	5063	1393	2688
MIMAT0000612	chr1	132198103	132198125	+	23	78	102	16	39
MIMAT0017044	chr1	132198142	132198163	+	22	0	0	11	3
MIMAT0027706	chr1	133726619	133726640	-	22	8	0	4	8
MIMAT0027707	chr1	133726564	133726583	-	20	0	5	3	0
MIMAT0049821	chr1	134946278	134946299	-	22	0	0	0	0
MIMAT0022357	chr1	135454661	135454683	-	23	0	0	0	0
MIMAT0022358	chr1	135454603	135454625	-	23	4	6	8	24
MIMAT0000210	chr1	137966468	137966490	+	23	42684	40421	20879	31334
MIMAT0000660	chr1	137966508	137966529	+	22	683	514	205	424
MIMAT0000673	chr1	137966650	137966673	+	24	7285	7848	5137	8108
MIMAT0017067	chr1	137966690	137966710	+	21	0	0	0	0
MIMAT0029884	chr1	151442393	151442416	+	24	0	0	0	0
MIMAT0029885	chr1	151442430	151442450	+	21	0	0	0	7
MIMAT0031420	chr1	153899989	153900009	+	21	29	59	11	10
MIMAT0003449	chr1	158505651	158505671	+	21	0	0	0	0
MIMAT0003450	chr1	158505689	158505709	+	21	0	0	0	0
MIMAT0019345	chr1	159340362	159340382	+	21	191	267	133	147
MIMAT0019346	chr1	159340400	159340419	+	20	63	83	23	36
MIMAT0009390	chr1	160295885	160295907	-	23	0	0	0	0
MIMAT0000229	chr1	162217844	162217866	+	23	2258	1720	1831	4095
MIMAT0000230	chr1	162217883	162217904	+	22	54155	67323	77484	104329
MIMAT0004664	chr1	162223397	162223418	+	22	1385	1182	1439	2354
MIMAT0000661	chr1	162223438	162223459	+	22	2179	4900	7034	8463
MIMAT0049822	chr1	164217678	164217701	+	24	0	0	0	0
MIMAT0049823	chr1	164217719	164217740	+	22	0	0	0	0
MIMAT0025090	chr1	167290125	167290146	+	22	0	0	0	0
MIMAT0025091	chr1	168490740	168490761	+	22	0	0	0	0
MIMAT0025097	chr1	169019041	169019061	-	21	0	0	0	0
MIMAT0029792	chr1	171064629	171064652	-	24	0	8	0	0
MIMAT0029793	chr1	171064591	171064611	-	21	10	0	0	8
MIMAT0029886	chr1	171641879	171641900	-	22	0	0	0	0
MIMAT0029887	chr1	171641840	171641860	-	21	0	0	0	0
MIMAT0017040	chr1	176772382	176772400	-	19	9	34	17	53
MIMAT0000605	chr1	176772342	176772363	-	22	1837	2400	1357	2217
MIMAT0049824	chr1	177579511	177579529	-	19	0	0	0	0
MIMAT0027708	chr1	180587206	180587227	+	22	0	0	0	0
MIMAT0027709	chr1	180587243	180587260	+	18	0	0	0	0
MIMAT0009458	chr1	184822465	184822488	-	24	741	605	339	541
MIMAT0017351	chr1	184822409	184822429	-	21	31	72	2	21
MIMAT0017353	chr1	185242975	185242995	+	21	5	32	8	20
MIMAT0012774	chr1	185243012	185243033	+	22	120	213	36	76
MIMAT0000224	chr1	185313325	185313346	+	22	209	340	100	117
MIMAT0016999	chr1	185313360	185313381	+	22	0	0	0	0
MIMAT0000904	chr1	185313610	185313630	+	21	30	28	9	0
MIMAT0017169	chr1	185313647	185313667	+	21	0	0	0	0
MIMAT0020614	chr1	191998602	191998623	-	22	0	0	0	0
MIMAT0000238	chr1	193507503	193507524	-	22	1	0	4	2
MIMAT0017003	chr1	193507467	193507488	-	22	0	0	0	0
MIMAT0019340	chr1	194822035	194822054	+	20	6	13	0	3
MIMAT0017063	chr1	195037050	195037074	+	25	0	7	12	16
MIMAT0000127	chr1	195037091	195037113	+	23	839	675	479	1033
MIMAT0004632	chr1	195037562	195037583	+	22	200	186	123	156
MIMAT0000536	chr1	195037600	195037621	+	22	446	399	275	357
MIMAT0020611	chr10	7836441	7836464	+	24	0	0	0	0
MIMAT0025166	chr10	20297593	20297613	-	21	0	0	0	0
MIMAT0029832	chr10	22729410	22729432	-	23	0	0	0	0
MIMAT0029833	chr10	22729372	22729393	-	22	10	0	0	10
MIMAT0027710	chr10	24910669	24910691	+	23	0	0	0	0
MIMAT0027711	chr10	24910711	24910731	+	21	0	0	0	0
MIMAT0020367	chr10	41670774	41670793	+	20	0	0	0	0
MIMAT0009392	chr10	44359692	44359714	+	23	0	0	0	0
MIMAT0022729	chr10	44359734	44359755	+	22	0	0	0	0
MIMAT0027712	chr10	60126777	60126800	+	24	0	0	0	0
MIMAT0027713	chr10	60126813	60126833	+	21	0	0	0	0
MIMAT0025161	chr10	60923077	60923100	+	24	5	0	0	0
MIMAT0005848	chr10	60960802	60960824	+	23	0	0	0	0
MIMAT0020616	chr10	61774795	61774813	+	19	0	0	0	0
MIMAT0029830	chr10	62194206	62194227	-	22	0	0	0	0
MIMAT0029831	chr10	62194167	62194190	-	24	17	9	1	9
MIMAT0028398	chr10	62682508	62682532	+	25	0	0	0	0
MIMAT0028399	chr10	62682536	62682558	+	23	0	0	0	0
MIMAT0025162	chr10	76008993	76009015	+	23	0	0	0	0
MIMAT0003452	chr10	76207333	76207354	-	22	0	0	0	0
MIMAT0009393	chr10	77641236	77641257	+	22	45	36	19	10
MIMAT0017340	chr10	77641274	77641295	+	22	0	0	0	0
MIMAT0029824	chr10	78340186	78340207	-	22	0	0	0	0
MIMAT0029825	chr10	78340150	78340172	-	23	0	0	0	0
MIMAT0027714	chr10	78408522	78408543	-	22	0	0	0	0
MIMAT0027715	chr10	78408477	78408499	-	23	0	0	0	0
MIMAT0025163	chr10	78434803	78434824	+	22	0	0	0	0
MIMAT0027716	chr10	78445131	78445152	-	22	0	0	0	0
MIMAT0027717	chr10	78445095	78445116	-	22	0	0	0	0
MIMAT0027718	chr10	79531064	79531085	-	22	0	0	10	0
MIMAT0027719	chr10	79531029	79531050	-	22	0	0	0	0
MIMAT0027720	chr10	79862592	79862614	+	23	0	0	1	0
MIMAT0027721	chr10	79862629	79862650	+	22	1	0	0	0
MIMAT0027722	chr10	80278169	80278191	+	23	5	0	0	0
MIMAT0027723	chr10	80278212	80278232	+	21	0	0	0	0
MIMAT0027724	chr10	80609265	80609286	+	22	0	0	0	0
MIMAT0027725	chr10	80609305	80609329	+	25	0	0	0	0
MIMAT0009459	chr10	80828808	80828827	+	20	0	0	0	0
MIMAT0009460	chr10	80828848	80828870	+	23	14	0	2	6
MIMAT0022355	chr10	81104652	81104673	-	22	0	0	0	0
MIMAT0022356	chr10	81104614	81104635	-	22	0	0	0	0
MIMAT0022355_1	chr10	81104616	81104637	+	22	0	0	0	0
MIMAT0022356_1	chr10	81104654	81104675	+	22	0	0	0	0
MIMAT0014822	chr10	81271610	81271633	+	24	37	60	16	38
MIMAT0014823	chr10	81271654	81271675	+	22	0	12	0	0
MIMAT0027726	chr10	81386352	81386373	+	22	0	16	0	0
MIMAT0027727	chr10	81386390	81386412	+	23	10	0	0	0
MIMAT0029866	chr10	81416276	81416297	-	22	0	0	0	0
MIMAT0029867	chr10	81416240	81416261	-	22	2	0	2	9
MIMAT0000147	chr10	92072141	92072163	-	23	51	27	44	52
MIMAT0017064	chr10	92072104	92072124	-	21	0	0	0	0
MIMAT0014824	chr10	92137190	92137210	-	21	9	0	0	23
MIMAT0014825	chr10	92137152	92137172	-	21	0	0	0	0
MIMAT0009394	chr10	93162879	93162900	+	22	0	0	0	0
MIMAT0029906	chr10	93433107	93433129	+	23	0	0	0	0
MIMAT0029907	chr10	93433142	93433162	+	21	0	0	0	0
MIMAT0004643	chr10	93963817	93963838	-	22	0	25	0	21
MIMAT0000571	chr10	93963783	93963803	-	21	80	35	25	37
MIMAT0028390	chr10	94586178	94586199	-	22	0	0	0	0
MIMAT0028391	chr10	94586137	94586159	-	23	0	0	0	0
MIMAT0014813	chr10	95559286	95559308	-	23	0	0	0	0
MIMAT0014814	chr10	95559244	95559264	-	21	16	27	12	18
MIMAT0019350	chr10	97423493	97423513	+	21	1	3	0	2
MIMAT0014811	chr10	101772704	101772725	+	22	0	0	0	0
MIMAT0014812	chr10	101772740	101772761	+	22	0	0	0	0
MIMAT0025164	chr10	104287290	104287310	+	21	0	0	0	0
MIMAT0049825	chr10	111185680	111185697	+	18	0	1	0	0
MIMAT0003896	chr10	120448052	120448073	-	22	0	0	0	0
MIMAT0025165	chr10	122648412	122648433	+	22	0	0	0	0
MIMAT0031408	chr10	122679336	122679357	+	22	0	0	0	0
MIMAT0000122	chr10	122985698	122985719	-	22	89853	110528	62039	99024
MIMAT0004520	chr10	122985642	122985663	-	22	111	67	45	78
MIMAT0025167	chr10	126710355	126710376	-	22	7305	4535	2420	3739
MIMAT0000533	chr10	126995543	126995564	+	22	30631	31795	18905	32727
MIMAT0017058	chr10	126995581	126995602	+	22	10	5	0	10
MIMAT0003166	chr10	126998471	126998486	+	16	0	0	0	0
MIMAT0003451	chr10	128085291	128085312	+	22	49	21	9	35
MIMAT0017246	chr10	128085335	128085360	+	26	2	0	1	10
MIMAT0027728	chr10	128382843	128382866	+	24	0	0	0	0
MIMAT0027729	chr10	128382882	128382900	+	19	0	0	0	0
MIMAT0027730	chr10	128388837	128388860	+	24	0	0	8	0
MIMAT0027731	chr10	128388879	128388900	+	22	0	13	6	0
MIMAT0031409	chr10	128458732	128458753	+	22	0	0	0	0
MIMAT0027732	chr10	128512005	128512025	-	21	0	4	10	0
MIMAT0027733	chr10	128511968	128511989	-	22	0	0	0	0
MIMAT0027734	chr10	128584472	128584492	-	21	0	0	0	0
MIMAT0027735	chr10	128584437	128584458	-	22	0	0	0	0
MIMAT0014826	chr11	4139377	4139396	+	20	2	4	0	3
MIMAT0014827	chr11	4139413	4139434	+	22	11	7	5	6
MIMAT0027736	chr11	4891350	4891372	+	23	0	0	0	0
MIMAT0027737	chr11	4891381	4891402	+	22	0	0	0	0
MIMAT0029804	chr11	6401630	6401651	+	22	0	0	0	8
MIMAT0029805	chr11	6401670	6401693	+	24	0	0	0	0
MIMAT0009396	chr11	21344640	21344663	-	24	0	0	0	0
MIMAT0009397	chr11	21344600	21344621	-	22	0	0	0	0
MIMAT0025116	chr11	26202258	26202280	+	23	0	0	0	0
MIMAT0003729	chr11	28746204	28746225	+	22	0	0	0	0
