# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "10" "-F" "GTF" "-t" "miRNA" "-g" "ID" "-a" "/home/shared/resources/mirna/mmu.gff3" "-o" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_02_featurecounts/star_counts.txt" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/damaged_muscle_exosome_1Aligned.sortedByCoord.out.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/damaged_muscle_exosome_2Aligned.sortedByCoord.out.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/muscle_exosome_1Aligned.sortedByCoord.out.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/muscle_exosome_2Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/damaged_muscle_exosome_1Aligned.sortedByCoord.out.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/damaged_muscle_exosome_2Aligned.sortedByCoord.out.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/muscle_exosome_1Aligned.sortedByCoord.out.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/muscle_exosome_2Aligned.sortedByCoord.out.bam
MIMAT0025084	chr1	12426016	12426038	+	23	3	0	0	0
MIMAT0017004	chr1	20679017	20679039	+	23	6	7	0	3
MIMAT0000239	chr1	20679055	20679076	+	22	2254899	2580809	44552	2413942
MIMAT0017083	chr1	20682797	20682818	+	22	109	160	79	104
MIMAT0000769	chr1	20682834	20682855	+	22	2058	2543	729	1242
MIMAT0000128	chr1	23272274	23272295	+	22	1602	1737	967	1333
MIMAT0000129	chr1	23272315	23272336	+	22	2949	3353	2102	4085
MIMAT0000514	chr1	23291714	23291736	+	23	3	3	2	4
MIMAT0005438	chr1	23291754	23291775	+	22	26	20	12	23
MIMAT0025085	chr1	29421552	29421573	+	22	0	0	0	0
MIMAT0027692	chr1	34117364	34117385	+	22	0	0	0	0
MIMAT0027693	chr1	34117408	34117429	+	22	0	0	0	0
MIMAT0020610	chr1	34433130	34433149	-	20	0	0	0	0
MIMAT0027694	chr1	36144290	36144312	-	23	0	0	0	0
MIMAT0027695	chr1	36144252	36144272	-	21	0	0	0	0
MIMAT0027696	chr1	36348732	36348753	-	22	0	0	7	0
MIMAT0027697	chr1	36348688	36348708	-	21	0	0	0	0
MIMAT0025092	chr1	39186908	39186929	-	22	0	0	0	0
MIMAT0025093	chr1	47467097	47467117	-	21	0	0	0	0
MIMAT0029882	chr1	53849424	53849443	+	20	0	0	0	0
MIMAT0029883	chr1	53849474	53849495	+	22	0	0	12	0
MIMAT0027698	chr1	64042476	64042496	-	21	0	0	0	0
MIMAT0027699	chr1	64042438	64042460	-	23	5	0	4	0
MIMAT0025094	chr1	73855553	73855575	-	23	0	0	0	0
MIMAT0009391	chr1	74206562	74206578	-	17	0	0	0	0
MIMAT0000534	chr1	74394324	74394344	+	21	17001	20271	11204	19310
MIMAT0004630	chr1	74394360	74394381	+	22	8	35	26	6
MIMAT0017078	chr1	74900696	74900717	-	22	0	0	0	0
MIMAT0000739	chr1	74900661	74900682	-	22	35	64	30	23
MIMAT0025086	chr1	76509620	76509641	+	22	0	0	0	0
MIMAT0025095	chr1	77496731	77496752	-	22	0	0	0	0
MIMAT0025087	chr1	82131926	82131947	+	22	0	0	0	0
MIMAT0025096	chr1	84218926	84218948	-	23	0	0	0	0
MIMAT0020637	chr1	84695890	84695911	+	22	168	96	24	108
MIMAT0031398	chr1	85751983	85752002	+	20	0	0	0	0
MIMAT0031410	chr1	86352062	86352087	-	26	37	11	17	23
MIMAT0027700	chr1	92464514	92464537	-	24	0	0	0	9
MIMAT0027701	chr1	92464483	92464503	-	21	3	0	0	3
MIMAT0000159	chr1	92850381	92850403	+	23	21776	25851	16127	23737
MIMAT0016990	chr1	92850421	92850442	+	22	0	0	0	0
MIMAT0027702	chr1	93274554	93274573	+	20	0	0	0	0
MIMAT0027703	chr1	93274585	93274604	+	20	0	0	0	0
MIMAT0027704	chr1	93346097	93346118	+	22	0	0	0	0
MIMAT0027705	chr1	93346135	93346155	+	21	0	0	0	0
MIMAT0025088	chr1	93352191	93352211	+	21	0	0	0	0
MIMAT0031390	chr1	106546536	106546555	-	20	0	0	0	0
MIMAT0025089	chr1	118954278	118954299	+	22	0	0	0	0
MIMAT0016982	chr1	128202369	128202389	+	21	10	5	11	7
MIMAT0000140	chr1	128202404	128202424	+	21	1059	1478	242	442
MIMAT0000612	chr1	132198103	132198125	+	23	76	97	12	39
MIMAT0017044	chr1	132198142	132198163	+	22	0	0	15	0
MIMAT0027706	chr1	133726619	133726640	-	22	8	0	4	8
MIMAT0027707	chr1	133726564	133726583	-	20	0	0	0	0
MIMAT0049821	chr1	134946278	134946299	-	22	0	0	0	0
MIMAT0022357	chr1	135454661	135454683	-	23	0	0	0	0
MIMAT0022358	chr1	135454603	135454625	-	23	4	6	7	20
MIMAT0000210	chr1	137966468	137966490	+	23	6	21	25	23
MIMAT0000660	chr1	137966508	137966529	+	22	680	511	203	416
MIMAT0000673	chr1	137966650	137966673	+	24	66	69	70	102
MIMAT0017067	chr1	137966690	137966710	+	21	0	0	0	0
MIMAT0029884	chr1	151442393	151442416	+	24	0	0	0	0
MIMAT0029885	chr1	151442430	151442450	+	21	0	0	0	7
MIMAT0031420	chr1	153899989	153900009	+	21	26	58	11	10
MIMAT0003449	chr1	158505651	158505671	+	21	0	0	0	0
MIMAT0003450	chr1	158505689	158505709	+	21	0	0	0	0
MIMAT0019345	chr1	159340362	159340382	+	21	133	185	81	86
MIMAT0019346	chr1	159340400	159340419	+	20	63	83	23	34
MIMAT0009390	chr1	160295885	160295907	-	23	0	0	0	0
MIMAT0000229	chr1	162217844	162217866	+	23	8	3	5	9
MIMAT0000230	chr1	162217883	162217904	+	22	3706	5494	5938	7371
MIMAT0004664	chr1	162223397	162223418	+	22	1341	1147	1359	2238
